,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
30,Port Hardy,75,CA,1544331600,81,50.7,-127.42,42.8,28.86
31,Ushuaia,75,AR,1544331600,61,-54.81,-68.31,48.2,6.93
32,Bethel,90,US,1544333160,100,60.79,-161.76,24.8,9.17
33,Bluff,100,AU,1544335213,63,-23.58,149.07,78.46,16.44
34,Bandarbeyla,48,SO,1544335214,100,9.49,50.81,78.46,15.21
35,Mallapuram,0,IN,1544333400,62,11.97,78.27,84.2,3.36
36,Leh,76,IN,1544335217,79,34.16,77.58,-2.37,0.34
37,Ribeira Grande,8,PT,1544335219,97,38.52,-28.7,65.23,17.72
38,Kaeo,0,NZ,1544335221,41,-35.1,173.78,72.34,15.48
39,Srednekolymsk,48,RU,1544335222,0,67.46,153.71,-32.88,2.91
40,Zaoyang,0,CN,1544335223,59,32.12,112.76,38.18,5.08
41,Sept-Iles,20,CA,1544331600,60,50.2,-66.38,5.0,8.05
42,Port-Gentil,40,GA,1544331600,94,-0.72,8.78,78.8,2.24
43,Airai,56,TL,1544335230,87,-8.93,125.41,77.92,1.9
44,El Alto,0,BO,1544331600,55,-16.5,-68.19,37.4,2.24
45,Urucara,68,BR,1544335234,98,-2.54,-57.76,73.06,2.57
46,Grand Gaube,75,MU,1544331600,78,-20.01,57.66,80.6,13.87
47,Pevek,8,RU,1544335237,97,69.7,170.27,-12.0,5.86
48,Tuatapere,100,NZ,1544335238,100,-46.13,167.69,56.81,12.46
49,Hilo,40,US,1544331180,75,19.71,-155.08,73.04,6.93
50,Saldanha,8,PT,1544334989,82,41.42,-6.55,27.61,2.57
51,Bredasdorp,44,ZA,1544331600,63,-34.53,20.04,66.2,5.82
52,Butaritari,64,KI,1544335245,100,3.07,172.79,85.84,5.41
53,Tawang,88,BT,1544335246,38,27.59,91.87,39.22,1.61
54,Flin Flon,24,CA,1544335248,80,54.77,-101.88,7.99,5.82
55,Beringovskiy,76,RU,1544335249,100,63.05,179.32,8.66,19.73
56,Constitucion,0,MX,1544335251,69,23.99,-104.67,39.26,5.64
57,Umm Bab,20,QA,1544331360,62,25.21,50.81,68.36,5.82
58,Lompoc,1,US,1544333700,87,34.64,-120.46,51.08,2.73
59,Yulara,0,AU,1544331600,18,-25.24,130.99,102.2,14.99
60,Mount Isa,0,AU,1544333400,15,-20.73,139.49,100.4,17.22
61,Sri Aman,75,MY,1544331600,66,1.24,111.46,91.4,2.24
62,San Patricio,8,PY,1544335260,80,-26.98,-56.83,54.56,2.13
63,Lavrentiya,44,RU,1544335261,100,65.58,-170.99,17.84,30.31
64,Jamestown,76,AU,1544335263,34,-33.21,138.6,86.2,12.8
65,Mataura,92,NZ,1544335265,100,-46.19,168.86,58.16,15.1
66,Mar del Plata,80,AR,1544335041,55,-46.43,-67.52,66.4,1.05
67,Badiraguato,5,MX,1544330400,82,25.36,-107.55,64.4,1.83
68,Guerrero Negro,0,MX,1544335270,92,27.97,-114.04,54.43,6.26
69,Mogadishu,75,SO,1544331600,74,2.04,45.34,82.4,11.41
70,Citta di Castello,88,IT,1544334600,70,43.47,12.23,46.4,6.93
71,Ikryanoye,0,RU,1544333400,100,46.1,47.74,32.0,5.41
72,Marawi,76,PH,1544335276,92,8.0,124.29,75.89,1.72
73,Coquimbo,0,CL,1544331600,82,-29.95,-71.34,59.0,7.38
74,Albany,20,US,1544332620,67,42.65,-73.75,21.92,3.36
75,Kavaratti,8,IN,1544335282,100,10.57,72.64,83.86,6.38
76,Naples,32,US,1544333700,93,26.14,-81.79,69.98,5.82
77,Ambilobe,20,MG,1544335285,96,-13.19,49.05,81.34,4.59
78,Carutapera,88,BR,1544335286,88,-1.2,-46.02,79.09,4.52
79,Sao Joao da Barra,8,BR,1544335287,100,-21.64,-41.05,73.33,12.86
80,Sambava,56,MG,1544335288,100,-14.27,50.17,80.66,12.97
81,Vaini,0,IN,1544331600,51,15.34,74.49,82.4,5.82
82,Vila Velha,40,BR,1544331600,83,-3.71,-38.6,80.6,6.93
83,Xining,32,CN,1544335292,23,36.62,101.77,35.84,3.62
84,Provideniya,20,RU,1544335294,100,64.42,-173.23,15.64,19.95
85,Rena,88,NO,1544335295,91,61.13,11.37,22.03,3.51
86,Chokurdakh,32,RU,1544335296,0,70.62,147.9,-29.37,7.76
87,Katsuura,75,JP,1544331600,60,33.93,134.5,41.0,12.75
88,Vila Franca do Campo,20,PT,1544333400,67,37.72,-25.43,60.8,5.82
89,Kolda,0,SN,1544335300,46,12.89,-14.94,63.25,7.16
90,Barrow,76,AR,1544335301,39,-38.31,-60.23,76.66,14.7
91,Potosi,92,BO,1544335302,97,-19.59,-65.75,38.05,1.5
92,Ayan,44,TR,1544335304,74,40.67,33.6,18.11,1.72
93,Atuona,100,PF,1544335305,100,-9.8,-139.03,80.39,16.33
94,New Norfolk,20,AU,1544333400,59,-42.78,147.06,66.2,13.87
95,Esso,0,RU,1544335308,72,55.93,158.7,-9.12,2.13
96,Hamilton,90,CA,1544331600,73,43.26,-79.87,30.2,8.05
97,Adrar,0,DZ,1544331600,57,27.87,-0.29,48.2,9.17
98,Bathsheba,20,BB,1544331600,65,13.22,-59.52,78.8,19.46
99,Kalmunai,92,LK,1544335313,100,7.42,81.82,73.51,4.41
100,Kaitangata,92,NZ,1544335314,100,-46.28,169.85,59.33,10.07
101,Saint-Philippe,90,CA,1544333700,91,45.36,-73.48,14.72,2.91
102,Nantai,12,CN,1544335317,67,36.41,105.98,29.81,4.41
103,Swan Hill,88,AU,1544335318,87,-35.34,143.56,71.89,11.45
104,Kapaa,75,US,1544331360,55,22.08,-159.32,73.04,24.16
105,Pisco,0,PE,1544331600,88,-13.71,-76.2,66.2,6.93
106,Verkhnevilyuysk,44,RU,1544335323,78,63.45,120.31,-17.85,4.29
107,Flinders,12,AU,1544335325,79,-34.58,150.85,75.22,3.13
108,Cabo San Lucas,20,MX,1544330520,72,22.89,-109.91,66.2,5.82
109,Leningradskiy,44,RU,1544335405,100,69.38,178.42,1.6,17.94
110,Notse,0,TG,1544335329,88,6.95,1.17,67.3,2.73
111,Port Elizabeth,1,US,1544334840,68,39.31,-74.98,28.04,3.36
112,Mitsamiouli,40,KM,1544331600,62,-11.38,43.28,87.8,8.05
113,Queanbeyan,40,AU,1544333400,23,-35.35,149.23,87.8,6.93
114,Ha Tinh,92,VN,1544335334,100,18.33,105.9,69.59,12.68
115,Klaksvik,36,FO,1544332800,86,62.23,-6.59,33.8,14.99
116,Thompson,40,CA,1544331600,91,55.74,-97.86,3.2,2.62
117,Longyearbyen,75,NO,1544331000,73,78.22,15.63,21.2,8.05
118,Barcelos,75,PT,1544333400,100,41.53,-8.62,48.2,1.9
119,Westport,80,IE,1544335341,95,53.8,-9.52,47.18,19.39
120,Moron,80,VE,1544335342,94,10.49,-68.2,68.33,3.06
121,Ukiah,20,US,1544331360,82,39.15,-123.21,46.04,2.06
122,Zabol,0,IR,1544331600,82,31.03,61.49,60.8,11.41
123,Uribia,0,CO,1544335347,76,11.71,-72.27,77.33,15.48
124,Kruisfontein,80,ZA,1544335348,91,-34.0,24.73,63.07,8.77
125,Victoria,75,BN,1544333400,79,5.28,115.24,89.6,4.7
126,Rongcheng,56,CN,1544335351,79,37.16,122.42,35.98,4.14
127,Poum,90,MK,1544335200,80,41.28,20.71,39.2,5.82
128,Grindavik,90,IS,1544333400,80,63.84,-22.43,33.8,9.17
129,Belaya Gora,24,RU,1544335356,0,68.54,146.19,-36.3,3.24
130,Lahij,0,YE,1544335357,69,13.06,44.88,77.2,4.14
131,Hobart,20,AU,1544333400,59,-42.88,147.33,66.2,13.87
132,Yichun,100,CN,1544335285,100,27.8,114.38,34.0,4.63
133,Avarua,90,CK,1544331600,88,-21.21,-159.78,80.6,13.87
134,Ancud,90,CL,1544331600,100,-41.87,-73.83,53.6,13.87
135,Vostok,36,RU,1544335364,53,46.45,135.83,-5.25,5.75
136,Caravelas,92,BR,1544335366,100,-17.73,-39.27,75.26,22.41
137,Clovis,90,US,1544334960,100,36.83,-119.7,48.2,5.82
138,Lagoa,0,PT,1544333400,67,37.14,-8.45,57.2,5.82
139,Louis Trichardt,92,ZA,1544335370,100,-23.04,29.91,70.09,3.29
140,Tual,36,ID,1544335371,100,-5.67,132.75,83.68,10.29
141,Yellowknife,5,CA,1544331600,92,62.45,-114.38,12.2,6.93
142,Kostomuksha,92,RU,1544335373,84,64.59,30.6,29.09,8.61
143,Saint Anthony,90,US,1544333100,74,43.97,-111.68,28.04,2.35
144,Husavik,0,CA,1544335378,59,50.56,-96.99,-6.64,3.58
145,Avera,90,US,1544334900,95,33.19,-82.53,44.6,10.29
146,Chilca,0,PE,1544331600,57,-13.22,-72.34,48.2,1.12
147,Pacific Grove,1,US,1544332500,76,36.62,-121.92,51.08,4.7
148,Ilulissat,0,GL,1544331000,65,69.22,-51.1,8.6,4.7
149,Cape Town,0,ZA,1544331600,68,-33.93,18.42,64.4,13.87
150,San Joaquin,12,PH,1544335388,68,10.59,122.14,85.57,13.69
151,Nuevitas,76,CU,1544331000,94,21.55,-77.27,71.6,3.36
152,Clyde River,1,CA,1544331600,75,70.47,-68.59,-20.21,3.36
153,Hasaki,75,JP,1544333400,45,35.73,140.83,46.4,5.82
154,Te Anau,100,NZ,1544335313,79,-45.41,167.72,61.58,6.04
155,Tuktoyaktuk,90,CA,1544331600,84,69.44,-133.03,3.2,14.99
156,Meulaboh,24,ID,1544335474,100,4.14,96.13,83.68,6.31
157,Kahului,40,US,1544332320,81,20.89,-156.47,75.02,23.04
158,Kambove,92,CD,1544335399,93,-10.88,26.6,67.57,5.08
159,Ramgarh,0,IN,1544335400,41,28.17,74.98,72.97,5.08
160,Iracoubo,88,GF,1544335402,79,5.48,-53.21,76.75,4.74
161,Alcantara,64,PH,1544335403,89,9.97,123.41,82.64,11.9
162,Jumla,0,NP,1544335404,57,29.28,82.18,36.25,0.83
163,Kodiak,1,US,1544332500,57,39.95,-94.76,23.0,8.05
164,Zhangye,0,CN,1544335407,91,38.94,100.46,14.51,4.41
165,Cap Malheureux,75,MU,1544331600,78,-19.98,57.61,80.6,13.87
166,Nouadhibou,0,MR,1544331600,42,20.93,-17.03,66.2,13.87
167,Surt,76,LY,1544335411,100,31.21,16.59,59.51,14.58
168,Arraial do Cabo,12,BR,1544335412,100,-22.97,-42.02,67.75,4.41
169,Upernavik,76,GL,1544335415,100,72.79,-56.15,8.66,10.11
170,Buraydah,0,SA,1544331600,100,26.33,43.97,55.4,5.82
171,Nikolskoye,90,RU,1544333400,92,59.7,30.79,28.4,13.42
172,Nabire,76,ID,1544335419,95,-3.36,135.5,72.74,2.35
173,Norman Wells,5,CA,1544331600,92,65.28,-126.83,14.0,11.41
174,Hermanus,0,ZA,1544335423,83,-34.42,19.24,59.65,3.58
175,Santa Rosa,0,AR,1544335347,94,-36.62,-64.29,62.93,6.15
176,Minab,0,IR,1544333400,46,27.15,57.07,75.2,4.07
177,Masuguru,76,MZ,1544335429,72,-11.38,38.46,82.78,5.93
178,Ouadda,12,CF,1544335430,75,8.07,22.4,69.28,3.85
179,Saint George,40,GR,1544332800,75,39.45,22.34,44.6,6.93
180,Kano,0,NG,1544331600,76,11.99,8.53,53.6,3.51
181,Guozhen,92,CN,1544335434,98,29.3,113.14,33.82,6.42
182,Nhulunbuy,40,AU,1544333400,63,-12.18,136.78,91.4,12.75
183,Ponta do Sol,8,BR,1544335437,84,-20.63,-46.0,57.58,9.44
184,Paducah,90,US,1544336100,74,37.08,-88.6,32.0,6.93
185,Lagunas,92,PE,1544335440,96,-5.23,-75.68,71.71,2.84
186,East London,75,ZA,1544331600,88,-33.02,27.91,62.6,8.05
187,Brae,36,GB,1544334600,99,60.4,-1.35,41.0,19.46
188,Kavieng,44,PG,1544335444,100,-2.57,150.8,84.58,5.86
189,Rocha,48,UY,1544335446,59,-34.48,-54.34,57.94,10.18
190,Cordoba,20,CO,1544335447,89,5.59,-73.79,45.25,3.06
191,Belyy Yar,32,RU,1544333400,77,53.6,91.39,-0.41,2.06
192,Mandalgovi,12,MN,1544335449,45,45.76,106.27,0.74,4.59
193,Den Helder,75,NL,1544335020,87,52.96,4.76,50.0,17.22
194,Port Macquarie,0,AU,1544331600,54,-31.43,152.91,80.6,19.46
195,Sarakhs,75,TM,1544331600,87,36.54,61.16,50.0,4.81
196,San Sebastian,92,PH,1544335455,81,11.71,125.02,84.71,12.3
197,Pandharpur,0,IN,1544335456,69,17.68,75.33,81.79,8.88
198,Harper,90,US,1544334360,85,30.3,-99.24,39.2,16.11
199,Namatanai,80,PG,1544335459,98,-3.66,152.44,85.12,6.6
200,Tessalit,0,ML,1544335460,66,20.2,1.01,48.22,8.28
201,Luganville,92,VU,1544335461,100,-15.51,167.18,80.17,18.61
202,Libreville,40,GA,1544333400,94,0.39,9.45,77.0,3.36
203,Rio Gallegos,0,AR,1544331600,74,-51.62,-69.22,48.2,9.17
204,Ulladulla,32,AU,1544335465,86,-35.36,150.48,71.35,7.54
205,Saint-Pierre,75,FR,1544333400,81,48.95,4.24,48.2,25.28
206,Luderitz,0,NA,1544335468,80,-26.65,15.16,58.57,19.57
207,Itoman,75,JP,1544333400,77,26.12,127.67,68.0,11.41
208,Port Lincoln,56,AU,1544335472,82,-34.72,135.86,65.95,16.37
209,Maralal,20,KE,1544335475,81,1.1,36.7,68.74,3.4
210,Archidona,64,EC,1544335476,96,-0.91,-77.81,58.93,2.57
211,Portage,1,US,1544334780,84,42.2,-85.58,17.42,2.91
212,Fairbanks,90,US,1544331480,94,64.84,-147.72,18.14,3.91
213,Georgetown,0,GY,1544331600,94,6.8,-58.16,73.4,6.26
214,Jobat,0,IN,1544335483,68,22.42,74.57,77.69,4.36
215,Armidale,0,AU,1544335479,51,-30.51,151.67,76.84,6.38
216,Quelimane,20,MZ,1544335486,59,-17.88,36.89,89.03,12.57
217,Berlevag,8,NO,1544335487,100,70.86,29.09,10.28,3.62
218,Stuttgart,75,DE,1544334600,81,48.78,9.18,44.6,20.8
219,Loa Janan,48,ID,1544335489,71,-0.58,117.09,86.47,2.35
220,Dickinson,1,US,1544331360,79,46.88,-102.79,12.02,10.29
221,Ikalamavony,20,MG,1544335492,57,-21.17,46.6,76.21,3.24
222,Tommot,80,RU,1544335493,65,58.97,126.27,-15.19,5.26
223,Tiksi,24,RU,1544335497,0,71.64,128.87,-38.37,3.36
224,Batemans Bay,44,AU,1544335498,81,-35.71,150.18,71.62,3.85
225,Fortuna,0,ES,1544333400,81,38.18,-1.13,50.0,11.41
226,Ust-Nera,8,RU,1544335502,0,64.57,143.24,-36.61,1.9
227,Guarda,0,PT,1544335503,76,40.54,-7.27,30.26,2.39
228,Nuuk,8,GL,1544331000,78,64.17,-51.74,17.6,12.75
229,Bangui,75,CF,1544331600,93,4.39,18.55,66.2,2.24
230,Abha,0,SA,1544331600,72,18.22,42.5,59.0,2.01
